,stack_id,x_min,y_min,x_max,y_max,object_type_id,name,add_date
0,1813128,844,546,933,641,21,hookworm,2021-11-09 10:30:29
1,1813386,500,178,592,258,21,hookworm,2021-11-09 10:30:29
2,1814641,517,311,609,377,21,hookworm,2021-11-09 10:30:29
3,1814921,1163,468,1241,549,21,hookworm,2021-11-09 10:30:29
4,1814984,434,510,533,586,21,hookworm,2021-11-09 10:30:29
5,1819983,338,322,466,394,21,hookworm,2021-11-09 10:38:14
6,1820156,546,132,674,204,21,hookworm,2021-11-09 10:38:14
7,1820177,1144,233,1272,334,21,hookworm,2021-11-09 10:38:14
8,1820384,887,0,1015,72,21,hookworm,2021-11-09 10:38:14
9,1821019,72,405,200,499,21,hookworm,2021-11-09 10:38:14
10,1821034,642,462,770,534,21,hookworm,2021-11-09 10:38:14
11,1821090,268,0,396,72,21,hookworm,2021-11-09 10:38:14
12,1821140,395,450,523,522,21,hookworm,2021-11-09 10:38:14
13,1821265,387,310,515,382,21,hookworm,2021-11-09 10:38:14
14,1821265,711,172,839,244,21,hookworm,2021-11-09 10:38:14
15,1821265,804,610,932,682,21,hookworm,2021-11-09 10:38:14
16,1821401,651,301,779,373,21,hookworm,2021-11-09 10:38:14
17,1821500,82,98,210,170,21,hookworm,2021-11-09 10:38:14
18,1821525,422,256,550,328,21,hookworm,2021-11-09 10:38:14
19,1821525,868,254,996,326,21,hookworm,2021-11-09 10:38:14
20,1821525,891,324,1019,396,21,hookworm,2021-11-09 10:38:14
21,1821553,309,206,437,278,21,hookworm,2021-11-09 10:38:14
22,1821640,1146,121,1274,239,21,hookworm,2021-11-09 10:38:14
23,1821738,1053,290,1181,362,21,hookworm,2021-11-09 10:38:14
24,1821844,646,106,774,199,21,hookworm,2021-11-09 10:38:14
25,1822032,761,636,889,729,21,hookworm,2021-11-09 10:38:14
26,1822056,713,174,841,246,21,hookworm,2021-11-09 10:38:14
27,1822071,1020,152,1148,251,21,hookworm,2021-11-09 10:38:14
28,1822253,249,410,327,539,21,hookworm,2021-11-09 10:38:14
29,1822253,516,225,598,357,21,hookworm,2021-11-09 10:38:14
30,1822376,289,99,417,204,21,hookworm,2021-11-09 10:38:14
31,1822376,387,132,487,225,21,hookworm,2021-11-09 10:38:14
32,1822376,1058,422,1186,530,21,hookworm,2021-11-09 10:38:14
33,1822394,274,128,402,200,21,hookworm,2021-11-09 10:38:14
34,1822585,202,0,330,72,21,hookworm,2021-11-09 10:38:14
