,stack_id,x_min,y_min,x_max,y_max,object_type_id,name,add_date
0,1806845,946,590,1013,671,24,trichuris,2021-10-25 21:48:49
1,1809153,1145,85,1209,166,24,trichuris,2021-10-25 21:48:49
2,1809161,212,79,288,155,24,trichuris,2021-10-25 21:48:49
3,1810744,422,640,527,708,24,trichuris,2021-10-25 22:22:57
4,1834717,535,406,621,470,24,trichuris,2021-11-09 12:46:50
5,1835547,615,312,720,400,24,trichuris,2021-11-09 12:46:50
6,1836819,762,495,830,568,24,trichuris,2021-11-09 14:06:02
7,1836843,69,37,140,123,24,trichuris,2021-11-09 14:06:02
8,1836902,246,180,321,248,24,trichuris,2021-11-09 12:46:50
9,1836926,1019,643,1147,715,24,trichuris,2021-11-09 14:06:02
10,1836936,85,656,157,714,24,trichuris,2021-11-09 14:06:02
11,1836936,668,62,729,144,24,trichuris,2021-11-09 14:06:02
12,1836994,221,239,279,303,24,trichuris,2021-11-09 14:06:02
13,1836994,761,485,822,555,24,trichuris,2021-11-09 14:06:02
14,1837103,412,450,497,538,24,trichuris,2021-11-09 14:06:02
15,1837103,903,146,983,203,24,trichuris,2021-11-09 14:06:02
16,1837131,441,228,524,306,24,trichuris,2021-11-09 14:06:02
17,1837188,437,416,531,476,24,trichuris,2021-11-09 14:06:02
18,1837188,910,107,1008,163,24,trichuris,2021-11-09 14:06:02
19,1837347,557,83,646,132,24,trichuris,2021-11-09 14:06:02
20,1837347,980,13,1052,65,24,trichuris,2021-11-09 14:06:02
21,1837544,833,573,905,631,24,trichuris,2021-11-09 14:06:02
22,1837544,835,2,963,74,24,trichuris,2021-11-09 14:06:02
23,1837578,0,107,29,178,24,trichuris,2021-11-09 14:06:02
24,1837578,337,426,416,490,24,trichuris,2021-11-09 14:06:02
25,1837578,471,32,527,91,24,trichuris,2021-11-09 14:06:02
26,1837578,996,238,1084,296,24,trichuris,2021-11-09 14:06:02
27,1837584,871,421,930,506,24,trichuris,2021-11-09 12:09:59
28,1837584,404,562,459,632,24,trichuris,2021-11-09 12:09:59
29,1837608,1089,116,1146,183,24,trichuris,2021-11-09 14:06:02
30,1837608,1199,393,1264,464,24,trichuris,2021-11-09 14:06:02
31,1837616,888,504,985,556,24,trichuris,2021-11-09 12:09:59
32,1837661,334,379,396,467,24,trichuris,2021-11-09 14:06:02
33,1837661,558,19,622,89,24,trichuris,2021-11-09 14:06:02
34,1837678,553,620,606,691,24,trichuris,2021-11-09 14:06:02
35,1837700,993,668,1121,740,24,trichuris,2021-11-09 14:06:02
